Instance,QualityGap,SimToOpt,SimToOther
nug15,-100.0870,0.0667,0.1401
nug15,-100.0870,0.0000,0.1219
nug15,-100.0870,0.0667,0.1064
nug15,-100.0870,0.0667,0.0788
nug15,-100.0870,0.1333,0.1205
nug15,-100.0870,0.0000,0.1111
tai64c,-100.0001,0.0156,0.0178
tai64c,-100.0001,0.0156,0.0142
tai64c,-100.0001,0.0312,0.0148
tai64c,-100.0001,0.0000,0.0147
tai64c,-100.0001,0.0000,0.0159
tai64c,-100.0001,0.0156,0.0163
tai64c,-100.0001,0.0156,0.0145
tai64c,-100.0001,0.0000,0.0147
tai64c,-100.0001,0.0000,0.0166
tai64c,-100.0001,0.0469,0.0137
tai64c,-100.0001,0.0156,0.0163
tai64c,-100.0001,0.0000,0.0129
tai64c,-100.0001,0.0156,0.0175
tai64c,-100.0001,0.0000,0.0148
tai64c,-100.0001,0.0156,0.0169
tai64c,-100.0001,0.0156,0.0147
tai64c,-100.0001,0.0156,0.0164
tai64c,-100.0001,0.0000,0.0129
tai64c,-100.0001,0.0312,0.0136
tai64c,-100.0001,0.0156,0.0145
tai64c,-100.0001,0.0156,0.0169
tai64c,-100.0001,0.0156,0.0122
tai64c,-100.0001,0.0156,0.0180
tai64c,-100.0001,0.0000,0.0182
tai64c,-100.0001,0.0312,0.0140
tai64c,-100.0001,0.0156,0.0148
tai64c,-100.0001,0.0312,0.0155
tai64c,-100.0001,0.0000,0.0140
tai64c,-100.0001,0.0000,0.0155
tai64c,-100.0001,0.0000,0.0172
tai64c,-100.0001,0.0312,0.0182
tai64c,-100.0001,0.0156,0.0167
tai64c,-100.0001,0.0000,0.0207
tai64c,-100.0001,0.0000,0.0166
tai64c,-100.0001,0.0000,0.0152
tai64c,-100.0001,0.0156,0.0140
tai64c,-100.0001,0.0000,0.0150
tai64c,-100.0001,0.0469,0.0172
tai64c,-100.0001,0.0000,0.0163
tai64c,-100.0001,0.0000,0.0150
tai64c,-100.0001,0.0156,0.0167
tai64c,-100.0001,0.0312,0.0169
tai64c,-100.0001,0.0000,0.0158
tai64c,-100.0001,0.0000,0.0153
tai64c,-100.0001,0.0000,0.0156
tai64c,-100.0001,0.0469,0.0115
tai64c,-100.0001,0.0000,0.0178
tai64c,-100.0001,0.0000,0.0150
tai64c,-100.0001,0.0469,0.0150
tai64c,-100.0001,0.0000,0.0153
tai64c,-100.0001,0.0312,0.0114
tai64c,-100.0001,0.0000,0.0163
tai64c,-100.0001,0.0312,0.0163
tai64c,-100.0001,0.0156,0.0185
tai64c,-100.0001,0.0156,0.0166
tai64c,-100.0001,0.0156,0.0150
tai64c,-100.0001,0.0000,0.0174
tai64c,-100.0001,0.0781,0.0183
tai64c,-100.0001,0.0000,0.0118
tai64c,-100.0001,0.0312,0.0158
tai64c,-100.0001,0.0469,0.0136
tai64c,-100.0001,0.0625,0.0175
tai64c,-100.0001,0.0156,0.0164
tai64c,-100.0001,0.0312,0.0145
tai64c,-100.0001,0.0156,0.0125
tai64c,-100.0001,0.0312,0.0145
tai64c,-100.0001,0.0156,0.0156
tai64c,-100.0001,0.0000,0.0167
tai64c,-100.0001,0.0000,0.0139
tai64c,-100.0001,0.0000,0.0123
tai64c,-100.0001,0.0000,0.0159
tai64c,-100.0001,0.0000,0.0167
tai64c,-100.0001,0.0156,0.0133
tai64c,-100.0001,0.0156,0.0170
tai64c,-100.0001,0.0000,0.0153
tai64c,-100.0001,0.0625,0.0142
tai64c,-100.0001,0.0000,0.0172
tai64c,-100.0001,0.0000,0.0186
tai64c,-100.0001,0.0000,0.0148
tai64c,-100.0001,0.0156,0.0161
tai64c,-100.0001,0.0000,0.0164
tai64c,-100.0001,0.0000,0.0177
tai64c,-100.0001,0.0312,0.0189
tai64c,-100.0001,0.0469,0.0159
tai64c,-100.0001,0.0000,0.0147
tai64c,-100.0001,0.0000,0.0153
tai64c,-100.0001,0.0156,0.0161
tai64c,-100.0001,0.0156,0.0152
tai64c,-100.0001,0.0156,0.0139
tai64c,-100.0001,0.0000,0.0158
tai64c,-100.0001,0.0469,0.0186
tai64c,-100.0001,0.0000,0.0158
tai64c,-100.0001,0.0156,0.0145
tai64c,-100.0001,0.0312,0.0131
tai64c,-100.0001,0.0156,0.0147
tai64c,-100.0001,0.0156,0.0150
tai64c,-100.0001,0.0000,0.0155
tai64c,-100.0001,0.0312,0.0145
tai64c,-100.0001,0.0312,0.0167
tai64c,-100.0001,0.0000,0.0150
tai12a,-100.0004,0.0833,0.1473
tai12a,-100.0004,0.0000,0.1347
tai12a,-100.0004,0.3333,0.1380
tai12a,-100.0004,0.0833,0.1145
tai12a,-100.0004,0.0833,0.1717
tai12a,-100.0004,0.0833,0.0901
tai12a,-100.0004,0.0833,0.1557
tai12a,-100.0004,0.0833,0.1094
tai12a,-100.0004,0.1667,0.0926
tai12a,-100.0004,0.0833,0.0909
tai12a,-100.0004,0.0833,0.1423
tai12a,-100.0004,0.1667,0.0901
tai12a,-100.0004,0.0833,0.1742
tai12a,-100.0004,0.1667,0.1498
tai12a,-100.0004,0.2500,0.1145
tai12a,-100.0004,0.3333,0.1591
tai12a,-100.0004,0.0833,0.1692
tai12a,-100.0004,0.0833,0.0800
tai12a,-100.0004,0.0000,0.0859
tai12a,-100.0004,0.0000,0.1481
tai12a,-100.0004,0.0833,0.0842
tai12a,-100.0004,0.1667,0.1305
tai12a,-100.0004,0.2500,0.1170
tai12a,-100.0004,0.1667,0.0976
tai12a,-100.0004,0.1667,0.1322
tai12a,-100.0004,0.1667,0.0850
tai12a,-100.0004,0.0833,0.1414
tai12a,-100.0004,0.0000,0.1094
tai12a,-100.0004,0.0000,0.0783
tai12a,-100.0004,0.0000,0.1305
tai12a,-100.0004,0.0833,0.1263
tai12a,-100.0004,0.0833,0.1557
tai12a,-100.0004,0.0833,0.1086
tai12a,-100.0004,0.2500,0.1330
tai12a,-100.0004,0.2500,0.0926
tai12a,-100.0004,0.5000,0.1490
tai12a,-100.0004,0.0000,0.1608
tai12a,-100.0004,0.0833,0.1330
tai12a,-100.0004,0.0833,0.1608
tai12a,-100.0004,0.4167,0.1246
tai12a,-100.0004,0.1667,0.1145
tai12a,-100.0004,0.0833,0.1187
tai12a,-100.0004,1.0000,0.1574
tai12a,-100.0004,0.0833,0.1170
tai12a,-100.0004,0.3333,0.1498
tai12a,-100.0004,0.1667,0.1187
tai12a,-100.0004,0.0000,0.1338
tai12a,-100.0004,0.5000,0.1490
tai12a,-100.0004,0.0000,0.1481
tai12a,-100.0004,0.1667,0.0892
tai12a,-100.0004,0.0833,0.1473
tai12a,-100.0004,0.2500,0.1364
tai12a,-100.0004,0.4167,0.1296
tai12a,-100.0004,0.4167,0.1448
tai12a,-100.0004,0.1667,0.0825
tai12a,-100.0004,0.3333,0.1456
tai12a,-100.0004,0.0000,0.1608
tai12a,-100.0004,0.2500,0.1027
tai12a,-100.0004,0.1667,0.1389
tai12a,-100.0004,0.0833,0.0715
tai12a,-100.0004,0.0833,0.1162
tai12a,-100.0004,0.1667,0.0909
tai12a,-100.0004,0.0000,0.0699
tai12a,-100.0004,0.1667,0.0960
tai12a,-100.0004,0.0000,0.1010
tai12a,-100.0004,0.0000,0.1439
tai12a,-100.0004,0.0833,0.1599
tai12a,-100.0004,0.2500,0.1582
tai12a,-100.0004,0.5000,0.1490
tai12a,-100.0004,0.0000,0.0960
tai12a,-100.0004,0.2500,0.1364
tai12a,-100.0004,0.5000,0.1305
tai12a,-100.0004,0.1667,0.1086
tai12a,-100.0004,0.1667,0.1237
tai12a,-100.0004,0.0000,0.1675
tai12a,-100.0004,0.0833,0.1338
tai12a,-100.0004,0.2500,0.1364
tai12a,-100.0004,0.3333,0.1322
tai12a,-100.0004,0.5000,0.1279
tai12a,-100.0004,0.0000,0.1355
tai12a,-100.0004,0.1667,0.1742
tai12a,-100.0004,0.0833,0.1389
tai12a,-100.0004,0.0833,0.1397
tai12a,-100.0004,0.5000,0.1481
tai12a,-100.0004,0.0833,0.0774
tai12a,-100.0004,0.0833,0.0943
tai12a,-100.0004,0.0000,0.1465
tai12a,-100.0004,0.0833,0.1481
tai12a,-100.0004,0.2500,0.1254
tai12a,-100.0004,0.0833,0.1229
tai12a,-100.0004,0.0000,0.0859
tai12a,-100.0004,0.0000,0.1305
tai12a,-100.0004,0.2500,0.1094
tai12a,-100.0004,0.1667,0.1515
tai12a,-100.0004,0.3333,0.1372
tai12a,-100.0004,0.0833,0.1540
tai12a,-100.0004,0.0000,0.0564
tai12a,-100.0004,0.0833,0.1389
tai12a,-100.0004,0.6667,0.1372
tai12a,-100.0004,0.1667,0.1414
tai20a,-100.0001,0.1000,0.0616
tai20a,-100.0001,0.1500,0.0485
tai20a,-100.0001,0.0500,0.0556
tai20a,-100.0001,0.0000,0.0525
tai20a,-100.0001,0.0000,0.0535
tai20a,-100.0001,0.1000,0.0581
tai20a,-100.0001,0.0000,0.0444
tai20a,-100.0001,0.0500,0.0631
